name,ring,quadrant,isNew,description,MoH_Used
Kotlin Flow,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>The introduction of <a href=""https://kotlinlang.org/docs/coroutines-overview.html"">coroutines to Kotlin</a> opened the door for several innovations — <strong><a href=""https://kotlinlang.org/docs/flow.html"">Kotlin Flow</a></strong> is one of them, directly integrated into the coroutines library. It's an implementation of Reactive Streams on top of coroutines. Unlike <a href=""https://github.com/ReactiveX/RxJava"">RxJava</a>, flows are a native Kotlin API similar to the familiar sequence API with methods that include <code>map</code> and <code>filter</code>. Like sequences, flows are <em>cold</em>, meaning that the values of the sequence are only constructed when needed. All of this makes writing multithreaded code much simpler and easier to understand than other approaches. The <code>toList</code> method, predictably, converts a flow into a list which is a common pattern in tests.</p>",y
Next.js,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We've had a bit more experience using <strong><a href=""https://nextjs.org/"">Next.js</a></strong> for <a href=""/radar/languages-and-frameworks/react-js"">React</a> codebases since the last time we wrote about it. Next.js is an opinionated, zero-configuration framework that includes simplified routing, automatic compilation and bundling with <a href=""/radar/tools/webpack"">Webpack</a> and <a href=""/radar/tools/babel"">Babel</a>, fast hot reloading for a convenient developer workflow among other features. It provides server-side rendering by default, improves search engine optimization and the initial load time and supports incremental static generation. We've had positive experience reports from teams using Next.js and, given its large community, continue to be excited about the evolution of the framework.</p>",y
Streamlit,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p><strong><a href=""https://www.streamlit.io/"">Streamlit</a></strong> is an open-source application framework in Python used by data scientists for building interactive data applications. Tuning machine-learning models takes time; instead of going back and forth on the main application (the one that uses these models), we've found value in quickly building standalone prototypes in Streamlit and gathering feedback during experimentation cycles. Streamlit stands out from competitors such as <a href=""/radar/tools/dash"">Dash</a> because of its focus on rapid prototyping and support for a wide range of visualization libraries, including <a href=""https://plotly.com/"">Plotly</a> and <a href=""/radar/tools/bokeh"">Bokeh</a>. We're using it in a few projects and like how we can put together interactive visualizations with very little effort.</p>",y
TrustKit,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><a href=""https://owasp.org/www-community/controls/Certificate_and_Public_Key_Pinning"">SSL public key pinning</a> is tricky. If you select the wrong policy or don't have a backup pin, your application will stop working unexpectedly. This is where <strong><a href=""https://github.com/datatheorem/TrustKit"">TrustKit</a></strong> is useful — it's an open-source framework that makes SSL public key pinning easier for iOS applications. There is an equivalent <a href=""https://github.com/datatheorem/TrustKit-Android"">framework for Android</a> as well. Picking the correct pinning strategy is a nuanced topic, and you can find more details about it in the TrustKit <a href=""https://github.com/datatheorem/TrustKit/blob/master/docs/getting-started.md"">Getting Started guide</a>. We've used TrustKit in several projects in production, and it has worked out well.</p>",y
bUnit,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://bunit.egilhansen.com/"">bUnit</a></strong> is a testing library for <a href=""/radar/languages-and-frameworks/blazor"">Blazor</a> that makes it easy to create tests for Blazor components in existing unit testing frameworks such as NUnit, xUnit or MSUnit. It provides a facade around the component allowing it to be run and tested within the familiar unit test paradigm, thus allowing very fast feedback and testing of the component in isolation. If you're developing for Blazor, we recommend that you add bUnit to your list of tools to try out.</p>",y
Flutter for Web,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>So far, <a href=""/radar/languages-and-frameworks/flutter"">Flutter</a> has primarily supported native iOS and Android applications. However, the Flutter team's vision is to support building applications on every platform. <strong>Flutter for Web</strong> is one step in that direction — it allows us to build apps for iOS, Android and the browser from the same codebase. It has been available for over a year now on the ""Beta"" channel, but with the recent Flutter 2.0 release, Flutter for Web has hit the stable milestone. In the initial release of web support, the Flutter team is focusing on <a href=""https://web.dev/what-are-pwas/"">progressive web apps</a>, <a href=""https://en.wikipedia.org/wiki/Single-page_application"">single-page apps</a> and expanding existing mobile apps to the web. The application and framework code (all in <a href=""/radar/languages-and-frameworks/google-dart"">Dart</a>) are compiled to JavaScript instead of ARM machine code, which is used for mobile applications. Flutter’s web engine offers a choice of two renderers: an HTML renderer, which uses HTML, CSS, Canvas and SVG, and a CanvasKit renderer that uses <a href=""/radar/languages-and-frameworks/webassembly"">WebAssembly</a> and WebGL to render Skia paint commands to the browser canvas. A few of our teams have started using Flutter for Web and like the initial results.</p>",y
Kotlin Multiplatform Mobile,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Following the trend of cross-platform mobile development, <strong><a href=""https://kotlinlang.org/docs/mobile/home.html"">Kotlin Multiplatform Mobile</a></strong> (KMM) is a new entry in this space. KMM is an SDK provided by JetBrains that leverages the <a href=""https://kotlinlang.org/docs/multiplatform.html"">multiplatform capabilities</a> in <a href=""/radar/languages-and-frameworks/kotlin"">Kotlin</a> and includes tools and features designed to make the end-to-end experience of building mobile cross-platform applications more enjoyable and efficient. With KMM you write code once for business logic and the app core in Kotlin and then  share it with both Android and iOS applications. Write platform-specific code only when necessary, for example, to take advantage of native UI elements; and the specific code is kept in different views for each platform. Although still in Alpha, Kotlin Multiplatform Mobile is <a href=""https://kotlinlang.org/docs/mobile/kmm-evolution.html"">evolving rapidly</a>. We'll certainly keep an eye on it, and you should too.</p>",y
React Hook Form,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Building forms for the web remains one of the perennial challenges of front-end development, in particular with <a href=""/radar/languages-and-frameworks/react-js"">React</a>. Many of our teams working with React have been using <a href=""/radar/languages-and-frameworks/formik"">Formik</a> to make this easier, but some are now assessing <strong><a href=""https://react-hook-form.com/"">React Hook Form</a></strong> as a potential alternative. <a href=""/radar/languages-and-frameworks/react-hooks"">React Hooks</a> already existed when React Hook Form was created, so it could use them as a first-class concept: the framework is registering and tracking form elements as uncontrolled components via a hook, thereby significantly reducing the need for re-rendering. It's also quite lightweight in size and in the amount of boilerplate code needed.</p>",y
Webpack 5 Module Federation,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>The release of the <strong><a href=""https://webpack.js.org/concepts/module-federation/"">Webpack 5 Module Federation</a></strong> feature has been highly anticipated by developers of <a href=""/radar/techniques/micro-frontends"">micro frontend</a> architectures. The feature introduces a more standardized way to optimize how module dependencies and shared code are managed and loaded. Module federation allows for the specification of shared modules, which helps with the deduplication of dependencies across micro frontends by loading code used by multiple modules only once. It also lets you distinguish between local and remote modules, where the remote modules are not actually part of the build itself but loaded asynchronously. Compared to build-time dependencies like npm packages, this can significantly simplify the deployment of a module update with many downstream dependencies. Be aware, though, that this requires you to bundle all of your micro frontends with Webpack, as opposed to approaches such as <a href=""/radar/techniques/import-maps-for-micro-frontends"">import maps</a>, which might eventually become part of the W3C standard.</p>",y
HIVE,Explore,Common Services,TRUE,<p>Common service for log aggregation and search</p>,y
Gradle,Explore,"Development, Test and Release Tools",TRUE,"<p>Gradle is a build automation tool for multi-language software development. It controls the development process in the tasks of compilation and packaging to testing, deployment, and publishing. </p>",y
Puppet,Explore,"Development, Test and Release Tools",TRUE,<p>Puppet is a software configuration management tool which includes its own declarative language to describe system configuration.</p>,y
AWS S3,Explore,Execution Environments,TRUE,<p>Amazon S3 or Amazon Simple Storage Service is a service offered by Amazon Web Services that provides object storage through a web service interface. Amazon S3 uses the same scalable storage infrastructure that Amazon.com uses to run its global e-commerce network</p>,y
Laravel,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Laravel is a free, open-source PHP web framework, created by Taylor Otwell and intended for the development of web applications following the model–view–controller architectural pattern and based on Symfony.</p>",y
TypeScript,Explore,"Languages, Frameworks, and Platforms",TRUE,<p>TypeScript is a programming language developed and maintained by Microsoft.</p>,y
Sparx EA,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards. IIT transitioned to EA from Designer during ISSS development. An assessment is currently underway to determine IIT future usage of EA. ER Studio is emerging as a new data model repository tool.</p>",y
Maven,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. This is the current IIT standard for build.</p>",y
Oracle Forms,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Oracle Forms, a component of Oracle Fusion Middleware, is Oracle's tool for creating and generating forms. This technology has been deprecated by IIT in favor of Orbeon Forms.</p>",y
Oracle Reports,Deprecate,"Development, Test and Release Tools",FALSE,"<p>Oracle Reports, a component of Oracle Fusion Middleware, is Oracle's enterprise reporting tool. This technology has been deprecated by IIT.</p>",y
SQL Server,Deprecate,"Development, Test and Release Tools",FALSE,"<p>SQL Server is a relational database server by Microsoft. IIT has a substantial install base for SQL Server, most of which is to support smaller COTS applications. SQL Server is a licensed product, either by CPU cores on the hosted server or a negotiated named user model.</p>",y
Homemade infrastructure-as-code (IaC) products,Deprecate,"Languages, Frameworks, and Platforms",TRUE,"<p>Products supported by companies or communities are in constant evolution, at least the ones that get traction in the industry. Sometimes organizations tend to build frameworks or abstractions on top of the existing external products to cover very specific needs, thinking that the adaptation will provide more benefits than the existing ones. We're seeing organizations trying to create <strong>homemade infrastructure-as-code (IaC) products</strong> on top of the existing ones; they underestimate the required effort to keep those solutions evolving according to their needs, and after a short period of time, they realize that the original version is in much better shape than their own; there are even cases where the abstraction on top of the external product reduces the original capabilities. Although we've seen success stories of organizations building homemade solutions, we want to caution about this approach as the effort required to do so isn't negligible, and a long-term product vision is required to have the expected outcomes.</p>",y
Hyperic,Deprecate,Common Services,FALSE,<p>Hyperic is a cross platform monitoring system which is designed to monitor and control server resources. </p>,y
AccuRoute Fax,Deprecate,Execution Environments,FALSE,"<p>AccuRoute Fax provides secure and comprehensive cloud, hybrid, and on-premise centralized fax infrastructures in an enterprise-class fax solution</p>",y
CICS,Deprecate,Execution Environments,FALSE,<p>CICS is a general-purpose transaction processing subsystem for the z/OS operating system</p>,y
Glassfish,Deprecate,Execution Environments,FALSE,"<p>GlassFish is an open-source Jakarta EE platform application server project started by Sun Microsystems, then sponsored by Oracle Corporation</p>",y
VMware,Deprecate,Execution Environments,TRUE,<p>Server virtualization software and services</p>,y
MS Access,Deprecate,"Languages, Frameworks, and Platforms",FALSE,<p>Microsoft Access is a database management system from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools.</p>,y
Wordpress,Deprecate,"Languages, Frameworks, and Platforms",TRUE,<p>WordPress is a free and open-source content management system written in PHP and paired with a MySQL or MariaDB database.</p>,y
Keypass,Retire,"Development, Test and Release Tools",FALSE,"<p>KeePass is a free and open source, light-weight and easy-to-use password manager primarily for windows. By default KeePass database is stored on local file systems. IIT currently uses KeePass for some credential management. IIT is actively replacing its use of keepass with Vault Hashicorp</p>",y
Oracle Solaris,Retire,"Languages, Frameworks, and Platforms",FALSE,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase. Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers. Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>",y
OpenJDK (Oracle),Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>IIT direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",y
SunOne LDAP,Retire,"Languages, Frameworks, and Platforms",FALSE,<p>IAM is currently assessing KeyCloak as the next evolution of authentication services and will continue to endure LDAP as needed for federated authorization services.</p>,y
Oracle JDK ,Retire,"Languages, Frameworks, and Platforms",TRUE,"<p>MoH direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",y
